x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,y
0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,0.99464,1.60E-17,3.63E-18,-1.45E-16,-4.73E-17,9.34E-17,-3.05E-17,3.38E-17,1.04E-16,8.68E-17,2.24E-17,-8.57E-18,1.30E-16,8.26E-18,8.91E-17,0
0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.69402,0.0050001,3.75E-05,3.13E-07,2.73E-09,2.46E-11,2.25E-13,3.62E-15,1.88E-13,2.05E-11,2.28E-09,2.60E-07,3.12E-05,0.0041655,0.0050001,0.01
0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0.010001,0.00015001,2.50E-06,4.38E-08,7.88E-10,1.44E-11,3.18E-16,-1.44E-11,-7.87E-10,-4.37E-08,-2.50E-06,-0.00014983,-0.0099885,0.010001,0.02
0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.99842,0.015002,0.00033755,8.44E-06,2.22E-07,5.98E-09,1.64E-10,3.09E-15,-1.64E-10,-5.98E-09,-2.21E-07,-8.43E-06,-0.00033732,-0.014992,0.015002,0.03
0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.45675,0.020004,0.00060016,2.00E-05,7.00E-07,2.52E-08,9.25E-10,5.75E-11,6.26E-10,1.70E-08,4.73E-07,1.35E-05,0.00040569,0.013522,0.020004,0.04
0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.99922,0.025008,0.00093789,3.91E-05,1.71E-06,7.69E-08,3.53E-09,3.27E-10,3.53E-09,7.69E-08,1.71E-06,3.91E-05,0.00093782,0.025006,0.025008,0.05
0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.030014,0.0013508,6.75E-05,3.55E-06,1.92E-07,1.05E-08,2.55E-17,-1.05E-08,-1.92E-07,-3.55E-06,-6.75E-05,-0.0013508,-0.030014,0.030014,0.06
0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0.035021,0.001839,0.00010729,6.57E-06,4.14E-07,2.67E-08,3.45E-09,2.67E-08,4.14E-07,6.57E-06,0.00010728,0.0018389,0.035019,0.035021,0.07
0.99782,0.99781,0.99781,0.99781,0.99781,0.99781,0.99781,0.99781,0.99781,0.99781,0.99781,0.99781,0.99782,0.99782,0.99781,0.99781,0.99781,0.99781,0.99781,0.99781,0.99781,0.99781,0.99781,0.99781,0.99781,0.99782,0.99781,0.99781,0.99781,0.99781,0.99781,0.99781,0.99781,0.99781,0.99781,0.99781,0.99782,0.99781,0.99781,0.99781,0.99781,0.99781,0.99781,0.99781,0.99781,0.99781,0.99782,0.99781,0.99781,0.99781,0.99781,0.99781,0.99781,0.99781,0.99781,0.99782,0.99781,0.99781,0.99781,0.99781,0.99781,0.99781,0.99781,0.99782,0.99781,0.99781,0.99781,0.99781,0.99781,0.99781,0.99782,0.99781,0.99781,0.99781,0.99781,0.99781,0.99782,0.99781,0.99781,0.99781,0.99781,0.99782,0.99781,0.99781,0.99781,0.99782,0.99781,0.99781,0.99782,0.99781,0.99782,0.040032,0.0024026,0.00016019,1.12E-05,8.07E-07,5.89E-08,1.28E-12,-5.89E-08,-8.07E-07,-1.12E-05,-0.00016015,-0.0024019,-0.04002,0.040032,0.08
0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.045046,0.0030416,0.00022816,1.80E-05,1.46E-06,1.21E-07,1.67E-08,8.05E-08,9.65E-07,1.19E-05,0.0001513,0.0020169,0.029871,0.045046,0.09
0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.050063,0.0037563,0.00031309,2.74E-05,2.47E-06,2.28E-07,4.20E-08,2.28E-07,2.46E-06,2.74E-05,0.00031271,0.0037518,0.050003,0.050063,0.1
0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.055084,0.0045467,0.00041689,4.01E-05,3.97E-06,4.05E-07,8.18E-08,4.04E-07,3.97E-06,4.01E-05,0.0004161,0.0045381,0.05498,0.055084,0.11
0.96154,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96154,0.96154,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96154,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96154,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96154,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96154,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96154,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96154,0.96153,0.96153,0.96153,0.96153,0.96153,0.96154,0.96153,0.96153,0.96153,0.96153,0.96154,0.96153,0.96153,0.96153,0.96154,0.96153,0.96153,0.96154,0.96153,0.96154,0.060109,0.005413,0.00054147,5.69E-05,6.14E-06,6.84E-07,1.49E-07,6.72E-07,6.03E-06,5.59E-05,0.00053191,0.0053175,0.059048,0.060109,0.12
0.99544,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99544,0.99544,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99544,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99544,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99544,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99544,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99544,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99544,0.99543,0.99543,0.99543,0.99543,0.99543,0.99544,0.99543,0.99543,0.99543,0.99543,0.99544,0.99543,0.99543,0.99543,0.99544,0.99543,0.99543,0.99544,0.99543,0.99544,0.065138,0.0063555,0.00068876,7.84E-05,9.17E-06,1.11E-06,2.64E-07,1.11E-06,9.17E-06,7.84E-05,0.00068865,0.0063545,0.065128,0.065138,0.13
